,Price (EUR/MWhe)
1527937,-0.016137833193558965
1527938,-0.11306672933945802
1527939,-0.09575977222088523
1527940,-0.0726070863495151
1527941,-0.016655289730562482
1527942,0.030555986177531573
1527943,-0.1114530296569836
1527944,0.12188981760903699
1527945,0.16347475670238162
1527946,0.04624577427968757
1527947,0.0
1527948,0.04779804824269761
1527949,0.0
1527950,-0.08228033777741225
1527951,0.029374005244971475
1527952,0.06862169001206883
1527953,0.18750560158154247
1527954,0.050250006470503115
1527955,0.027164160122116067
1527956,-0.037047291135227284
1527957,-0.03812877518597636
1527958,-0.08147681088791704
1527959,-0.12419346399091837
1527960,-0.15852581911873356
1527961,-0.11531084651099437
1527962,0.027398974188114347
1527963,-0.027676790553285056
1527964,0.0538185832932003
1527965,0.13822677647053525
1527966,0.25184933067397564
1527967,0.027948035740147405
1527968,0.03942736673262335
1527969,0.036647320343395635
1527970,-0.036647320343395504
1527971,-0.0006667778210031306
1527972,-0.004679934999859934
1527973,-0.016895147610315332
1527974,-0.009587472856983881
1527975,0.014855562192460222
1527976,0.011627058274838915
1527977,0.06596153230140113
1527978,0.019415069734417815
1527979,0.0
1527980,-0.05144712870829093
1527981,-0.02941630227368961
1527982,-0.021408318664153842
1527983,-0.11910440581092183
1527984,-0.08530283911694485
1527985,-0.09142975852057866
1527986,0.0
1527987,-0.0392390367293109
1527988,0.04540414359520137
1527989,0.04647862661953178
1527990,0.10117968908198584
1527991,0.08738771360262405
1527992,0.04452217656603563
1527993,0.0288399970987204
1527994,-0.004861295299825318
1527995,-0.008606921751041264
1527996,-0.014855562192460186
1527997,-0.021386540580974008
1527998,-0.07686965691109081
1527999,-0.011260735461873148
1528000,0.07397086376932932
1528001,0.05040163137706887
1528002,0.01346821705086661
1528003,0.0020046782523781624
1528004,-0.006865973552203368
1528005,-0.02397870179889513
1528006,-0.03502985132921495
1528007,-0.3062733125616637
1528008,-0.027244291505877368
1528009,-0.04556074886742855
1528010,-0.06453852113757118
1528011,-0.028170876966696335
1528012,0.014184634991956381
1528013,0.01398624197473987
1528014,0.0135193119922464
1528015,0.0536199908453822
1528016,0.08367247572411504
1528017,0.1474392452392715
1528018,0.0
1528019,-0.0640576363002204
1528020,0.047428693571110826
1528021,-0.02611890698435997
1528022,-0.15465281390760552
1528023,-0.005540180375615356
1528024,0.18589261404969804
1528025,0.21467838252614524
1528026,0.03572698656835097
1528027,0.016994825151501514
1528028,0.006080018729746395
1528029,-0.02421816781142795
1528030,-0.02297811651786308
1528031,-0.0645831152199437
1528032,-0.1537642638307729
1528033,-0.09006082391818114
1528034,0.03884416920921949
1528035,0.00043782837827250406
1528036,0.038639706985850494
1528037,0.1912657852422743
1528038,0.09134977858822783
1528039,0.03294342085723798
1528040,0.028017278932449007
1528041,0.00832842410648191
1528042,-0.02322375705292211
1528043,-0.03532955169865193
1528044,-0.015349616981198067
1528045,-0.044009709553508
1528046,-0.003505554044835404
1528047,0.003005512364276909
1528048,0.05639861283418652
1528049,0.062014064132652126
1528050,0.021682654309557778
1528051,-0.021682654309557754
1528052,-0.0363457030389309
1528053,-0.03183292657321078
1528054,-0.053239559718973796
1528055,-0.030907537463076663
1528056,-0.13911537669389135
1528057,-0.09234135031052304
1528058,-0.04809475384933481
1528059,-0.08842245836093478
1528060,-0.003244730164889117
1528061,0.07973496801885352
1528062,0.14340858329535627
1528063,-0.009444458827999689
1528064,0.08640549996412795
1528065,0.09328793442355703
1528066,0.006892521192726985
1528067,-0.0485723959577047
1528068,-0.04791119777725316
1528069,-0.02825522422440624
1528070,0.009632712126404373
1528071,-0.007736617512073932
1528072,0.07672948899902537
1528073,0.06272767201321368
1528074,0.037197043786074024
1528075,0.011208578944280085
1528076,-0.015982617292240583
1528077,-0.042192103744715215
1528078,-0.004001339116609062
1528079,-0.12455079010830622
1528080,-0.06205658319698748
1528081,-0.014601760142739673
1528082,0.021223636451626584
1528083,-0.04646287441034098
1528084,0.06861567905147418
1528085,0.16183403147188266
1528086,0.10104171887320164
1528087,0.034297522800025106
1528088,0.15055254364634185
1528089,0.061337691981140204
1528090,-0.06133769198114032
1528091,-0.15055254364634194
1528092,-0.02308077467397369
1528093,-0.03557477990733769
1528094,-0.011781255472305593
1528095,0.015012276053752095
1528096,0.032343759325891286
1528097,0.04592495462358202
1528098,0.0632948503723136
1528099,-0.061166435237487445
1528100,-0.05626666165460812
1528101,-0.053908955858851026
1528102,-0.026621200032964913
1528103,-0.0004876859399267241
1528104,-0.023027333271310235
1528105,-0.02374048697091881
1528106,-0.010103690712377487
1528107,-0.06286465032265884
1528108,0.05404792798337446
1528109,0.05572001610190166
1528110,0.10305864025800138
1528111,0.023427132895139934
1528112,0.07779148359535121
1528113,0.016860671575109728
1528114,-0.03156186020925455
1528115,-0.0507213755844292
1528116,-0.028415944974294553
1528117,-0.043583155961583214
1528118,-0.0032310205814464203
1528119,0.024358031781286503
1528120,0.018477652812448744
1528121,0.0536086393684513
1528122,0.04420836177371159
1528123,-0.05066633732765989
1528124,-0.06562831662695189
1528125,-0.04900826585832835
1528126,-0.025921451334487908
1528127,-0.08381867188307147
1528128,-0.12129262439929063
1528129,-0.027437670348630882
1528130,0.005100490502478891
1528131,0.0
1528132,0.029278209200386773
1528133,0.16738847690838216
1528134,0.1235984053187143
1528135,0.021917884990203373
1528136,0.05387703271677105
1528137,0.03591267509358521
1528138,-0.03618661017268487
1528139,-0.03911113011662565
1528140,-0.017241806434506103
1528141,-0.05971923470162231
1528142,-0.00015385798937972517
1528143,0.03819043838144409
1528144,0.021682654309557778
1528145,0.016529301951210724
1528146,0.012044070492845432
1528147,-0.028573372444056
1528148,-0.05956540038088196
1528149,-0.03061304180544889
1528150,-0.060812982140376705
1528151,-0.1994915493641037
1528152,-0.02079076966907378
1528153,-0.10047053036363462
1528154,-0.0011621151801772627
1528155,0.019118398737155363
